Epoch: [1][80/770], lr: 0.00010	Time 0.217 (0.456)	Data 0.000 (0.235)	Loss 2.7740 (1.4966)	Prec@1 0.000 (40.123)	Prec@5 50.000 (93.210)
Epoch: [1][100/770], lr: 0.00010	Time 0.214 (0.410)	Data 0.000 (0.188)	Loss 0.6834 (1.4949)	Prec@1 100.000 (38.119)	Prec@5 100.000 (92.574)
Epoch: [1][120/770], lr: 0.00010	Time 0.224 (0.379)	Data 0.000 (0.157)	Loss 1.1272 (1.5021)	Prec@1 0.000 (36.364)	Prec@5 100.000 (92.562)
Epoch: [1][140/770], lr: 0.00010	Time 0.216 (0.356)	Data 0.000 (0.135)	Loss 1.9311 (1.4738)	Prec@1 50.000 (38.298)	Prec@5 50.000 (92.199)
Epoch: [1][160/770], lr: 0.00010	Time 0.226 (0.339)	Data 0.000 (0.118)	Loss 1.3383 (1.4871)	Prec@1 0.000 (37.578)	Prec@5 100.000 (92.857)
Epoch: [1][180/770], lr: 0.00010	Time 0.224 (0.326)	Data 0.000 (0.105)	Loss 2.3418 (1.4806)	Prec@1 0.000 (36.740)	Prec@5 50.000 (92.818)
Epoch: [1][200/770], lr: 0.00010	Time 0.222 (0.316)	Data 0.000 (0.095)	Loss 0.8639 (1.5032)	Prec@1 100.000 (36.318)	Prec@5 100.000 (92.289)
Epoch: [1][220/770], lr: 0.00010	Time 0.224 (0.307)	Data 0.000 (0.086)	Loss 1.5870 (1.5452)	Prec@1 50.000 (35.973)	Prec@5 100.000 (91.855)
Epoch: [1][240/770], lr: 0.00010	Time 0.222 (0.300)	Data 0.000 (0.079)	Loss 1.4560 (1.5508)	Prec@1 0.000 (35.685)	Prec@5 100.000 (91.909)
Epoch: [1][260/770], lr: 0.00010	Time 0.222 (0.294)	Data 0.000 (0.073)	Loss 0.7739 (1.5481)	Prec@1 100.000 (36.782)	Prec@5 100.000 (92.146)
Epoch: [1][280/770], lr: 0.00010	Time 0.216 (0.289)	Data 0.000 (0.068)	Loss 0.9614 (1.5371)	Prec@1 50.000 (37.722)	Prec@5 100.000 (92.171)
Epoch: [1][300/770], lr: 0.00010	Time 0.224 (0.284)	Data 0.000 (0.063)	Loss 1.6574 (1.5459)	Prec@1 0.000 (37.209)	Prec@5 100.000 (91.860)
Epoch: [1][320/770], lr: 0.00010	Time 0.226 (0.280)	Data 0.000 (0.059)	Loss 0.8752 (1.5372)	Prec@1 50.000 (37.072)	Prec@5 100.000 (92.212)
Epoch: [1][340/770], lr: 0.00010	Time 0.225 (0.277)	Data 0.000 (0.056)	Loss 1.1043 (1.5315)	Prec@1 50.000 (37.390)	Prec@5 100.000 (92.082)
Epoch: [1][360/770], lr: 0.00010	Time 0.214 (0.274)	Data 0.000 (0.053)	Loss 0.6942 (1.5140)	Prec@1 50.000 (38.089)	Prec@5 100.000 (92.382)
Epoch: [1][380/770], lr: 0.00010	Time 0.224 (0.271)	Data 0.000 (0.050)	Loss 1.0565 (1.5095)	Prec@1 0.000 (37.927)	Prec@5 100.000 (92.257)
