Epoch: [2][300/308], lr: 0.00010	Time 0.922 (0.955)	Data 0.000 (0.063)	Loss 0.7774 (1.4808)	Prec@1 60.000 (41.130)	Prec@5 100.000 (91.561)
Epoch: [3][0/308], lr: 0.00010	Time 19.347 (19.347)	Data 18.985 (18.985)	Loss 1.4195 (1.4195)	Prec@1 40.000 (40.000)	Prec@5 100.000 (100.000)
Epoch: [3][20/308], lr: 0.00010	Time 0.922 (1.771)	Data 0.000 (0.904)	Loss 2.3230 (1.4267)	Prec@1 0.000 (40.952)	Prec@5 60.000 (90.476)
Epoch: [3][40/308], lr: 0.00010	Time 0.922 (1.343)	Data 0.000 (0.463)	Loss 1.7297 (1.5008)	Prec@1 40.000 (41.951)	Prec@5 100.000 (90.732)
Epoch: [3][60/308], lr: 0.00010	Time 0.922 (1.195)	Data 0.000 (0.311)	Loss 1.5432 (1.5004)	Prec@1 40.000 (40.984)	Prec@5 100.000 (90.820)
Epoch: [3][80/308], lr: 0.00010	Time 0.914 (1.121)	Data 0.000 (0.234)	Loss 0.6942 (1.4590)	Prec@1 80.000 (40.741)	Prec@5 100.000 (91.358)
Epoch: [3][100/308], lr: 0.00010	Time 0.923 (1.075)	Data 0.000 (0.188)	Loss 1.1414 (1.4312)	Prec@1 40.000 (41.980)	Prec@5 100.000 (91.485)
Epoch: [3][120/308], lr: 0.00010	Time 0.922 (1.045)	Data 0.000 (0.157)	Loss 1.2373 (1.4398)	Prec@1 40.000 (42.645)	Prec@5 100.000 (91.570)
Epoch: [3][140/308], lr: 0.00010	Time 0.922 (1.024)	Data 0.000 (0.135)	Loss 1.3258 (1.4500)	Prec@1 80.000 (42.553)	Prec@5 80.000 (91.489)
Epoch: [3][160/308], lr: 0.00010	Time 0.928 (1.007)	Data 0.000 (0.118)	Loss 2.2209 (1.4689)	Prec@1 20.000 (41.863)	Prec@5 60.000 (90.932)
Epoch: [3][180/308], lr: 0.00010	Time 0.922 (0.995)	Data 0.000 (0.105)	Loss 2.1432 (1.4800)	Prec@1 20.000 (40.663)	Prec@5 80.000 (90.718)
Epoch: [3][200/308], lr: 0.00010	Time 0.922 (0.985)	Data 0.000 (0.094)	Loss 1.8372 (1.4835)	Prec@1 40.000 (40.995)	Prec@5 80.000 (90.846)
Epoch: [3][220/308], lr: 0.00010	Time 0.922 (0.976)	Data 0.000 (0.086)	Loss 1.1378 (1.4722)	Prec@1 60.000 (41.629)	Prec@5 100.000 (91.131)
Epoch: [3][240/308], lr: 0.00010	Time 0.922 (0.970)	Data 0.000 (0.079)	Loss 1.3441 (1.4595)	Prec@1 60.000 (41.992)	Prec@5 80.000 (91.369)
Epoch: [3][260/308], lr: 0.00010	Time 0.938 (0.964)	Data 0.000 (0.073)	Loss 1.3225 (1.4566)	Prec@1 40.000 (42.069)	Prec@5 100.000 (91.571)
Epoch: [3][280/308], lr: 0.00010	Time 0.922 (0.959)	Data 0.000 (0.068)	Loss 1.2892 (1.4561)	Prec@1 40.000 (41.779)	Prec@5 100.000 (91.673)
Epoch: [3][300/308], lr: 0.00010	Time 0.922 (0.954)	Data 0.000 (0.063)	Loss 1.1767 (1.4494)	Prec@1 80.000 (42.060)	Prec@5 100.000 (91.628)
Epoch: [4][0/308], lr: 0.00010	Time 19.328 (19.328)	Data 18.985 (18.985)	Loss 1.2076 (1.2076)	Prec@1 60.000 (60.000)	Prec@5 100.000 (100.000)
Epoch: [4][20/308], lr: 0.00010	Time 0.922 (1.773)	Data 0.000 (0.904)	Loss 2.5826 (1.3770)	Prec@1 20.000 (45.714)	Prec@5 100.000 (93.333)
Epoch: [4][40/308], lr: 0.00010	Time 0.938 (1.344)	Data 0.000 (0.463)	Loss 1.4304 (1.4476)	Prec@1 40.000 (45.854)	Prec@5 100.000 (90.732)
Epoch: [4][60/308], lr: 0.00010	Time 0.917 (1.196)	Data 0.000 (0.311)	Loss 0.7758 (1.4222)	Prec@1 60.000 (43.934)	Prec@5 100.000 (92.131)
Epoch: [4][80/308], lr: 0.00010	Time 0.984 (1.122)	Data 0.000 (0.234)	Loss 1.7333 (1.4495)	Prec@1 40.000 (43.951)	Prec@5 100.000 (91.605)
Epoch: [4][100/308], lr: 0.00010	Time 0.922 (1.077)	Data 0.000 (0.188)	Loss 1.8150 (1.4732)	Prec@1 40.000 (42.970)	Prec@5 80.000 (90.891)
Epoch: [4][120/308], lr: 0.00010	Time 0.924 (1.046)	Data 0.000 (0.157)	Loss 2.2261 (1.4853)	Prec@1 20.000 (43.306)	Prec@5 100.000 (90.744)
Epoch: [4][140/308], lr: 0.00010	Time 0.906 (1.025)	Data 0.000 (0.135)	Loss 1.4718 (1.4699)	Prec@1 20.000 (42.411)	Prec@5 100.000 (91.489)
Epoch: [4][160/308], lr: 0.00010	Time 0.922 (1.008)	Data 0.000 (0.118)	Loss 1.7618 (1.4612)	Prec@1 40.000 (42.112)	Prec@5 60.000 (91.801)
Epoch: [4][180/308], lr: 0.00010	Time 0.936 (0.996)	Data 0.000 (0.105)	Loss 1.5750 (1.4681)	Prec@1 20.000 (41.215)	Prec@5 100.000 (91.713)
Epoch: [4][200/308], lr: 0.00010	Time 0.922 (0.986)	Data 0.000 (0.094)	Loss 2.5004 (1.4657)	Prec@1 0.000 (41.294)	Prec@5 60.000 (91.642)
Epoch: [4][220/308], lr: 0.00010	Time 0.922 (0.977)	Data 0.000 (0.086)	Loss 1.1477 (1.4731)	Prec@1 20.000 (40.543)	Prec@5 100.000 (91.584)
